"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","AC wiring loss | (kW)","Absolute air mass","Array DC power | (kW)","Array DC power loss due to snow | (kW)","Array POA beam radiation after shading and soiling | (kW)","Array POA front-side beam radiation nominal | (kW)","Array POA front-side total radiation after cover | (kW)","Array POA front-side total radiation after shading and soiling | (kW)","Array POA front-side total radiation after shading only | (kW)","Array POA front-side total radiation nominal | (kW)","Array POA radiation total after cover | (kW)","Array POA rear-side total radiation after cover | (kW)","Inverter DC input voltage at MPPT 1 | (V)","Inverter clipping loss AC power limit | (kW)","Inverter clipping loss DC MPPT voltage limits | (kW)","Inverter efficiency | (%)","Inverter night time loss | (kW)","Inverter power consumption loss | (kW)","Inverter thermal derate loss | (kW)","Inverter total power loss | (kW)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI calculated | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Angle of incidence | (deg)","Subarray 1 Angle of incidence Modifier | (0-1)","Subarray 1 Axis rotation for 1 axis trackers | (deg)","Subarray 1 Axis rotation ideal for 1 axis trackers | (deg)","Subarray 1 Cell temperature | (C)","Subarray 1 External shading and soiling beam irradiance factor | (frac)","Subarray 1 Module efficiency | (%)","Subarray 1 Open circuit voltage | (V)","Subarray 1 Operating voltage | (V)","Subarray 1 POA front beam irradiance after shading and soiling | (W/m2)","Subarray 1 POA front diffuse irradiance after shading and soiling | (W/m2)","Subarray 1 POA total front irradiance after module cover | (W/m2)","Subarray 1 POA total front irradiance after shading and soiling | (W/m2)","Subarray 1 POA total front irradiance after shading only | (W/m2)","Subarray 1 POA total front irradiance nominal | (W/m2)","Subarray 1 POA total irradiance after module cover | (W/m2)","Subarray 1 POA total rear irradiance after module cover | (W/m2)","Subarray 1 Partial external shading DC factor | (frac)","Subarray 1 Self-shading linear beam irradiance factor | (frac)","Subarray 1 Self-shading non-linear DC factor | (frac)","Subarray 1 Self-shading non-linear ground diffuse irradiance factor | (frac)","Subarray 1 Self-shading non-linear sky diffuse irradiance factor | (frac)","Subarray 1 Short circuit current | (A)","Subarray 1 Soiling beam irradiance factor | (frac)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Sun position time | (hour)","Sun up over horizon | (0/1/2/3)","Sun zenith angle | (deg)","Transformer load loss | (kW)","Transformer no load loss | (kW)","Transformer total loss | (kW)","Transmission loss | (kW)","Weather file albedo","Weather file ambient temperature | (C)","Weather file snow depth | (cm)","Weather file wind speed | (m/s)"
"Jan 1, 12:00 am",0.643568,-0.0009999,-0.0009999,1,1,0.642568,0.642568,0,0,0,-0.0009999,0,0,0,-0.643568,-0.643568,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,7,nan,1.5
"Jan 1, 01:00 am",0.534318,-0.0009999,-0.0009999,1,1,0.533318,0.533318,0,0,0,-0.0009999,0,0,0,-0.534318,-0.534318,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 02:00 am",0.500238,-0.0009999,-0.0009999,1,1,0.499238,0.499238,0,0,0,-0.0009999,0,0,0,-0.500238,-0.500238,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 03:00 am",0.498171,-0.0009999,-0.0009999,1,1,0.497171,0.497171,0,0,0,-0.0009999,0,0,0,-0.498171,-0.498171,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 04:00 am",0.507719,-0.0009999,-0.0009999,1,1,0.506719,0.506719,0,0,0,-0.0009999,0,0,0,-0.507719,-0.507719,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.6
"Jan 1, 05:00 am",0.567399,-0.0009999,-0.0009999,1,1,0.566399,0.566399,0,0,0,-0.0009999,0,0,0,-0.567399,-0.567399,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.6
"Jan 1, 06:00 am",0.796969,-0.0009999,-0.0009999,1,1,0.795969,0.795969,0,0,0,-0.0009999,0,0,0,-0.796969,-0.796969,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 07:00 am",1.09969,-0.0009999,-0.0009999,1,1,1.09869,1.09869,0,0,0,-0.0009999,0,0,0,-1.09969,-1.09969,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,7,nan,1.4
"Jan 1, 08:00 am",0.505525,0.523195,0.523195,1,1,1.02872,1.02872,0,0,0,0.523195,0,0,0,-0.505525,-0.505525,0,0,0,0.0052848,10.8498,0.557115,0,3.4584,3.64042,3.46474,4.32718,4.55492,4.55492,3.46474,0,397.846,0,0,94.8601,0,0.0164265,0,0.0286354,39,638,88.4718,nan,75.529,0.800692,0,0,15.1439,0.95,13.473,453.519,397.846,151.458,38.0477,151.736,189.506,199.48,199.48,151.736,0,0,0,0,0,0,0.777974,0.95,180,20,4.4473,121.275,8,1,85.5527,0,0,0,0,0.2,11,nan,1.9
"Jan 1, 09:00 am",0,0.877768,1.74194,1,1,0.877768,0.877768,0,0,0,0.877768,0,0,0.864167,0.864167,0.864167,0,0,0,0.0175953,3.78567,1.81692,0,8.1468,8.57557,9.12016,9.79906,10.3148,10.3148,9.12016,0,397.811,0,0,96.8416,0,0.0102877,0,0.0573852,56,833,263.888,nan,63.2015,0.930718,0,0,24.8739,0.95,19.4033,460.278,397.811,356.784,72.36,399.412,429.144,451.73,451.73,399.412,0,0,0,0,0,0,2.54212,0.95,180,20,14.4518,130.784,9,1,75.5482,0,0,0,0,0.2,15,nan,2.4
