"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","Air temperature | ('C)","Wind speed | (m/s)","Wind direction | (deg)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","Pressure | (atm)"
"Jan 1, 12:00 am",0,0.642568,0.919627,1,-4.479,8.36182,253,1,0.642568,0.642568,0,0,0,0.642568,0,0,0.277059,0.277059,0.277059,0,0,0,0.756534
"Jan 1, 01:00 am",0,0.533318,0.84782,1,-4.279,8.16073,261,1,0.533318,0.533318,0,0,0,0.533318,0,0,0.314502,0.314502,0.314502,0,0,0,0.759497
"Jan 1, 02:00 am",0.0593506,0.439887,0.439887,1,-4.079,6.81145,278,1,0.499238,0.499238,0,0,0,0.439887,0,0,0,-0.0593506,-0.0593506,0,0,0,0.75999
"Jan 1, 03:00 am",0,0.497171,0.515913,1,-3.639,7.13673,312,1,0.497171,0.497171,0,0,0,0.497171,0,0,0.0187425,0.0187425,0.0187425,0,0,0,0.761372
"Jan 1, 04:00 am",0,0.506719,0.906385,1,-3.679,8.31366,321,1,0.506719,0.506719,0,0,0,0.506719,0,0,0.399666,0.399666,0.399666,0,0,0,0.76226
"Jan 1, 05:00 am",0.015837,0.550562,0.550562,1,-3.579,7.28036,325,1,0.566399,0.566399,0,0,0,0.550562,0,0,0,-0.015837,-0.015837,0,0,0,0.76305
"Jan 1, 06:00 am",0.46887,0.3271,0.3271,1,-3.479,6.25721,336,1,0.795969,0.795969,0,0,0,0.3271,0,0,0,-0.46887,-0.46887,0,0,0,0.763741
"Jan 1, 07:00 am",0.624748,0.473942,0.473942,1,-3.679,6.94579,325,1,1.09869,1.09869,0,0,0,0.473942,0,0,0,-0.624748,-0.624748,0,0,0,0.764927
"Jan 1, 08:00 am",0.747502,0.281218,0.281218,1,-3.819,5.92179,323,1,1.02872,1.02872,0,0,0,0.281218,0,0,0,-0.747502,-0.747502,0,0,0,0.765915
"Jan 1, 09:00 am",0.675932,0.201836,0.201836,1,-3.819,5.35741,328,1,0.877768,0.877768,0,0,0,0.201836,0,0,0,-0.675932,-0.675932,0,0,0,0.76542
"Jan 1, 10:00 am",0.588771,0.282982,0.282982,1,-3.719,5.94122,317,2,0.871753,0.871753,0,0,0,0.282982,0,0,0,-0.588771,-0.588771,0,0,0,0.763544
"Jan 1, 11:00 am",0.380071,0.502052,0.502052,1,-3.559,7.06069,319,2,0.882123,0.882123,0,0,0,0.502052,0,0,0,-0.380071,-0.380071,0,0,0,0.767
"Jan 1, 12:00 pm",0.456034,0.406565,0.406565,1,-3.359,6.65853,320,2,0.862599,0.862599,0,0,0,0.406565,0,0,0,-0.456034,-0.456034,0,0,0,0.765519
"Jan 1, 01:00 pm",0.592082,0.243542,0.243542,1,-3.319,5.65396,313,2,0.835624,0.835624,0,0,0,0.243542,0,0,0,-0.592082,-0.592082,0,0,0,0.767098
"Jan 1, 02:00 pm",0.397514,0.433843,0.433843,1,-3.259,6.77343,305,2,0.831357,0.831357,0,0,0,0.433843,0,0,0,-0.397514,-0.397514,0,0,0,0.766407
"Jan 1, 03:00 pm",0.33055,0.560995,0.560995,1,-3.359,7.30909,302,3,0.891545,0.891545,0,0,0,0.560995,0,0,0,-0.33055,-0.33055,0,0,0,0.768679
"Jan 1, 04:00 pm",0.354448,0.765142,0.765142,1,-3.659,7.91234,294,3,1.11959,1.11959,0,0,0,0.765142,0,0,0,-0.354448,-0.354448,0,0,0,0.769074
"Jan 1, 05:00 pm",0.861301,0.676809,0.676809,1,-3.349,7.68253,279,3,1.53811,1.53811,0,0,0,0.676809,0,0,0,-0.861301,-0.861301,0,0,0,0.768185
"Jan 1, 06:00 pm",1.21891,0.592881,0.592881,1,-3.039,7.45272,268,3,1.81179,1.81179,0,0,0,0.592881,0,0,0,-1.21891,-1.21891,0,0,0,0.767295
"Jan 1, 07:00 pm",1.08213,0.680688,0.680688,1,-3.759,7.67323,254,3,1.76282,1.76282,0,0,0,0.680688,0,0,0,-1.08213,-1.08213,0,0,0,0.772926
"Jan 1, 08:00 pm",0.237707,1.39727,1.39727,1,-4.499,9.22275,258,1,1.63498,1.63498,0,0,0,1.39727,0,0,0,-0.237707,-0.237707,0,0,0,0.772433
"Jan 1, 09:00 pm",0,1.49387,1.60189,1,-5.199,9.57676,256,1,1.49387,1.49387,0,0,0,1.49387,0,0,0.108025,0.108025,0.108025,0,0,0,0.773026
"Jan 1, 10:00 pm",0,1.20991,1.71242,1,-5.939,9.87331,259,1,1.20991,1.20991,0,0,0,1.20991,0,0,0.502512,0.502512,0.502512,0,0,0,0.770263
"Jan 1, 11:00 pm",0,0.922429,1.55771,1,-6.539,9.48129,253,1,0.922429,0.922429,0,0,0,0.922429,0,0,0.635277,0.635277,0.635277,0,0,0,0.772931
"Jan 2, 12:00 am",0,0.635994,1.6517,1,-7.039,9.70096,240,1,0.635994,0.635994,0,0,0,0.635994,0,0,1.01571,1.01571,1.01571,0,0,0,0.769673
"Jan 2, 01:00 am",0,0.527219,2.08416,1,-7.299,10.9734,239,1,0.527219,0.527219,0,0,0,0.527219,0,0,1.55694,1.55694,1.55694,0,0,0,0.771154
"Jan 2, 02:00 am",0,0.48514,2.04573,1,-7.499,10.8111,236,1,0.48514,0.48514,0,0,0,0.48514,0,0,1.56059,1.56059,1.56059,0,0,0,0.770365
"Jan 2, 03:00 am",0,0.48023,2.10136,1,-7.599,11.0502,235,1,0.48023,0.48023,0,0,0,0.48023,0,0,1.62113,1.62113,1.62113,0,0,0,0.769475
"Jan 2, 04:00 am",0,0.487741,2.28977,1,-7.759,12.0928,241,1,0.487741,0.487741,0,0,0,0.487741,0,0,1.80203,1.80203,1.80203,0,0,0,0.771155
"Jan 2, 05:00 am",0,0.543699,2.37299,1,-7.749,13.2317,248,1,0.543699,0.543699,0,0,0,0.543699,0,0,1.82929,1.82929,1.82929,0,0,0,0.769081
"Jan 2, 06:00 am",0,0.749608,2.4,1,-7.739,14.3605,250,1,0.749608,0.749608,0,0,0,0.749608,0,0,1.65039,1.65039,1.65039,0,0,0,0.766908
"Jan 2, 07:00 am",0,1.04256,2.37473,1,-7.899,15.7765,248,1,1.04256,1.04256,0,0,0,1.04256,0,0,1.33217,1.33217,1.33217,0,0,0,0.766514
"Jan 2, 08:00 am",0,0.975821,2.37434,1,-7.639,15.7765,245,1,0.975821,0.975821,0,0,0,0.975821,0,0,1.39852,1.39852,1.39852,0,0,0,0.769278
"Jan 2, 09:00 am",0,0.822569,2.37682,1,-6.919,15.6996,247,1,0.822569,0.822569,0,0,0,0.822569,0,0,1.55425,1.55425,1.55425,0,0,0,0.769771
"Jan 2, 10:00 am",0,0.814914,2.39687,1,-6.159,15.0111,248,2,0.814914,0.814914,0,0,0,0.814914,0,0,1.58196,1.58196,1.58196,0,0,0,0.768584
"Jan 2, 11:00 am",0,0.829634,2.4,1,-5.259,14.1501,250,2,0.829634,0.829634,0,0,0,0.829634,0,0,1.57037,1.57037,1.57037,0,0,0,0.767694
"Jan 2, 12:00 pm",0,0.814788,2.36794,1,-4.459,13.1836,249,2,0.814788,0.814788,0,0,0,0.814788,0,0,1.55315,1.55315,1.55315,0,0,0,0.768187
"Jan 2, 01:00 pm",0,0.792036,2.31704,1,-3.699,12.4663,245,2,0.792036,0.792036,0,0,0,0.792036,0,0,1.525,1.525,1.525,0,0,0,0.767198
"Jan 2, 02:00 pm",0,0.792231,2.28473,1,-3.159,12.1308,247,2,0.792231,0.792231,0,0,0,0.792231,0,0,1.4925,1.4925,1.4925,0,0,0,0.766901
"Jan 2, 03:00 pm",0,0.854486,2.30048,1,-3.159,12.2939,246,3,0.854486,0.854486,0,0,0,0.854486,0,0,1.44599,1.44599,1.44599,0,0,0,0.767888
"Jan 2, 04:00 pm",0,1.08368,2.28956,1,-3.419,12.1697,241,3,1.08368,1.08368,0,0,0,1.08368,0,0,1.20588,1.20588,1.20588,0,0,0,0.76858
"Jan 2, 05:00 pm",0,1.50276,2.31047,1,-3.049,12.3987,239,3,1.50276,1.50276,0,0,0,1.50276,0,0,0.807714,0.807714,0.807714,0,0,0,0.768579
